Jan 04, 2022 2:15:23 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 04, 2022 2:15:23 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 04, 2022 2:15:23 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/opendaylight/lock
Jan 04, 2022 2:15:23 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 04, 2022 2:15:23 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2022-01-04T14:15:24,565 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 4 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.7 | Logging configuration changed. (Event Admin service unavailable - no notification sent).
2022-01-04T14:15:25,483 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.ops4j.pax.jdbc/pax-jdbc-config/1.4.4
2022-01-04T14:15:25,485 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.ops4j.pax.jdbc/pax-jdbc-pool-common/1.4.4
2022-01-04T14:15:25,530 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2022-01-04T14:15:25,536 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.osgi/org.osgi.service.jdbc/1.0.0
2022-01-04T14:15:25,558 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 | Starting bundles:
2022-01-04T14:15:25,559 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   org.ops4j.pax.url.wrap/2.6.2
2022-01-04T14:15:25,565 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   org.osgi.service.jdbc/1.0.0.201505202023
2022-01-04T14:15:25,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   org.ops4j.pax.jdbc/1.4.4
2022-01-04T14:15:25,571 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   org.apache.geronimo.specs.geronimo-jta_1.1_spec/1.1.1
2022-01-04T14:15:25,572 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   org.ops4j.pax.jdbc.pool.common/1.4.4
2022-01-04T14:15:25,572 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   org.apache.servicemix.bundles.jasypt/1.9.3.1
2022-01-04T14:15:25,573 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   org.ops4j.pax.jdbc.config/1.4.4
2022-01-04T14:15:25,578 | INFO  | features-3-thread-1 | ServiceTrackerHelper             | 19 - org.ops4j.pax.jdbc.config - 1.4.4 | Obtained service dependency: (objectClass=org.ops4j.pax.jdbc.config.ConfigLoader)
2022-01-04T14:15:25,578 | INFO  | features-3-thread-1 | ServiceTrackerHelper             | 19 - org.ops4j.pax.jdbc.config - 1.4.4 | Waiting for service dependency: (objectClass=org.ops4j.pax.jdbc.config.ConfigLoader)
2022-01-04T14:15:25,581 | INFO  | features-3-thread-1 | ServiceTrackerHelper             | 19 - org.ops4j.pax.jdbc.config - 1.4.4 | Waiting for service dependency: (&(pool=*)(!(pax.jdbc.managed=true))(|(objectClass=javax.sql.DataSource)(objectClass=javax.sql.XADataSource)))
2022-01-04T14:15:25,582 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 | Done.
2022-01-04T14:15:28,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 | Changes to perform:
2022-01-04T14:15:28,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   Region: root
2022-01-04T14:15:28,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |     Bundles to install:
2022-01-04T14:15:28,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.bouncycastle/bcpkix-jdk15on/1.66
2022-01-04T14:15:28,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.bouncycastle/bcprov-jdk15on/1.66
2022-01-04T14:15:28,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.esotericsoftware/kryo/4.0.2
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.esotericsoftware/minlog/1.3.1
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.esotericsoftware/reflectasm/1.11.8
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.10.5
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.jackson.core/jackson-core/2.10.5
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.10.5
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.jackson.dataformat/jackson-dataformat-xml/2.10.5
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.10.5
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.10.5
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.10.5
2022-01-04T14:15:28,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.10.5
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.fasterxml.woodstox/woodstox-core/6.2.3
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.google.code.gson/gson/2.8.5
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.google.guava/guava/28.2-jre
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.google.guava/failureaccess/1.0.1
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.googlecode.json-simple/json-simple/1.1.1
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.h2database/h2/1.4.200
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.lmax/disruptor/3.4.2
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.rabbitmq/amqp-client/5.5.3
2022-01-04T14:15:28,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe.akka/akka-actor_2.13/2.5.32
2022-01-04T14:15:28,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe.akka/akka-cluster_2.13/2.5.32
2022-01-04T14:15:28,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe.akka/akka-osgi_2.13/2.5.32
2022-01-04T14:15:28,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe.akka/akka-persistence_2.13/2.5.32
2022-01-04T14:15:28,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe.akka/akka-protobuf_2.13/2.5.32
2022-01-04T14:15:28,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe.akka/akka-remote_2.13/2.5.32
2022-01-04T14:15:28,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe.akka/akka-slf4j_2.13/2.5.32
2022-01-04T14:15:28,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe.akka/akka-stream_2.13/2.5.32
2022-01-04T14:15:28,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe/config/1.3.3
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:com.typesafe/ssl-config-core_2.13/0.3.8
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.aeron/aeron-client/1.15.3
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.aeron/aeron-driver/1.15.3
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.dropwizard.metrics/metrics-core/4.1.12.1
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.dropwizard.metrics/metrics-graphite/4.1.12.1
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.dropwizard.metrics/metrics-healthchecks/4.1.12.1
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.dropwizard.metrics/metrics-jmx/4.1.12.1
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.dropwizard.metrics/metrics-jvm/4.1.12.1
2022-01-04T14:15:28,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-buffer/4.1.56.Final
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-codec/4.1.56.Final
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-codec-http/4.1.56.Final
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-common/4.1.56.Final
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-handler/4.1.56.Final
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-resolver/4.1.56.Final
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-transport/4.1.56.Final
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-transport-native-epoll/4.1.56.Final/jar/linux-x86_64
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:io.netty/netty-transport-native-unix-common/4.1.56.Final
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.javassist/javassist/3.27.0-GA
2022-01-04T14:15:28,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:javax.annotation/javax.annotation-api/1.3.1
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:javax.el/javax.el-api/3.0.0
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:javax.servlet/javax.servlet-api/3.1.0
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:javax.validation/validation-api/1.1.0.Final
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:javax.websocket/javax.websocket-api/1.1
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:javax.ws.rs/javax.ws.rs-api/2.1.1
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.opendaylight.odlparent/karaf.branding/7.0.8
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.lz4/lz4-java/1.7.1
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:net.sf.ehcache/ehcache/2.10.6
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.agrona/agrona/0.9.33
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.antlr/antlr4-runtime/4.8-1
2022-01-04T14:15:28,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.3.1
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.10.2
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.2.0
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.2.0
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.8
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.quiesce/org.apache.aries.quiesce.api/1.0.0
2022-01-04T14:15:28,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.spifly/org.apache.aries.spifly.dynamic.bundle/1.2.4
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:commons-collections/commons-collections/3.2.2
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:commons-beanutils/commons-beanutils/1.9.4
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:commons-codec/commons-codec/1.15
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.commons/commons-text/1.9
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.commons/commons-lang3/3.11
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:commons-logging/commons-logging/1.2
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.felix/org.apache.felix.dependencymanager/4.4.1
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.felix/org.apache.felix.scr/2.1.24
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.geronimo.specs/geronimo-jaspic_1.0_spec/1.1
2022-01-04T14:15:28,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.boot/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.10
2022-01-04T14:15:28,472 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.http/org.apache.karaf.http.core/4.2.10
2022-01-04T14:15:28,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.2.10
2022-01-04T14:15:28,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.2.10
2022-01-04T14:15:28,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.10
2022-01-04T14:15:28,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.10
2022-01-04T14:15:28,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.10
